1/2	2	[2]	1
1/2	12	[3, 4]	2
1/2	168	[3, 7, 8]	3
1/2	240	[3, 5, 16]	3
1/2	6720	[3, 7, 10, 32]	4
1/2	13440	[3, 5, 28, 32]	4
1/2	14880	[3, 5, 31, 32]	4
1/2	65280	[3, 5, 17, 256]	4
1/2	549120	[3, 10, 11, 13, 128]	5
1/2	591360	[3, 7, 11, 32, 80]	5
1/2	591360	[3, 7, 11, 40, 64]	5
1/2	833280	[3, 7, 10, 62, 64]	5
1/2	954240	[3, 7, 10, 64, 71]	5
1/2	1145760	[3, 7, 11, 32, 155]	5
1/2	1317120	[3, 5, 32, 49, 56]	5
1/2	1666560	[3, 5, 31, 56, 64]	5
1/2	1908480	[3, 5, 28, 64, 71]	5
1/2	2143680	[3, 7, 11, 29, 320]	5
1/2	2204160	[3, 7, 10, 41, 256]	5
1/2	3655680	[3, 7, 10, 34, 512]	5
1/2	3886080	[3, 5, 23, 64, 176]	5
1/2	4408320	[3, 5, 28, 41, 256]	5
1/2	6990720	[3, 5, 22, 64, 331]	5
1/2	8094720	[3, 5, 31, 34, 512]	5
